algorithm,dimensions,n_patterns,patterns_length,quality,time,timestamp,mat
SVD,20,8723,1,0.30588697017268446,14.318589448928833,1570707428.2054908,0.0016414753466615652
SVD,20,8723,2,0.05690298507462686,1.242591381072998,1570707435.3748982,0.00014245000356219169
SVD,200,8723,1,0.8858600583090379,7.7938220500946045,1570707472.2187064,0.0008934795425994044
SVD,200,8723,2,0.7355410447761194,1.1685969829559326,1570707473.395875,0.00013396732580029034
word2vec,100,8723,1,0.659217313298946,11.258838653564453,1570712796.4603558,0.0012907071711067812
word2vec,100,8723,2,0.7089552238805971,1.4340705871582031,1570712797.9028003,0.00016440107613873703
word2vec,10,8723,1,0.16915227629513344,15.979666709899902,1570712863.4077055,0.001831900345053296
word2vec,10,8723,2,0.043843283582089554,1.5390353202819824,1570712864.954644,0.0001764341763478141
word2vec,50,8723,1,0.5286611347835838,10.717786312103271,1570712912.22536,0.0012286812234441444
word2vec,50,8723,2,0.5750932835820896,1.097179889678955,1570712913.3304656,0.00012578010887068155
word2vec,500,8723,1,0.7330343126261494,10.0574369430542,1570712933.634541,0.001152979129090244
word2vec,500,8723,2,0.8022388059701493,1.8385374546051025,1570712935.480393,0.00021076893896653702
word2vec,1000,8723,1,0.7355909396725723,6.946924448013306,1570712971.4393866,0.0007963916597516113
word2vec,1000,8723,2,0.8055037313432836,1.9129154682159424,1570712973.360189,0.00021929559420107102
SVD,10,42025,1,0.10520700536863072,266.1584470272064,1570713756.547641,0.006333336038719962
SVD,10,42025,2,0.007865757734661772,11.20572566986084,1570713767.7626524,0.0002666442753090027
word2vec,10,42025,1,0.2524885880710717,267.1344277858734,1570714061.4997084,0.006356559852132622
word2vec,10,42025,2,0.06790770844257997,13.04111123085022,1570714074.5504563,0.00031031793529685234
SVD,50,42025,1,0.5751992383512197,180.2549066543579,1570714450.6008394,0.0042892303784499205
SVD,50,42025,2,0.217488201363398,8.29392147064209,1570714458.903438,0.00019735684641623057
word2vec,50,42025,1,0.6792198531482802,167.54201936721802,1570714647.8846939,0.003986722650023034
word2vec,50,42025,2,0.4512978500262192,8.602011919021606,1570714656.4954205,0.0002046879695186581
SVD,100,42025,1,0.7913605316022946,155.49091053009033,1570715326.6648088,0.0036999621779914417
SVD,100,42025,2,0.43517304667016254,7.406786203384399,1570715334.0807183,0.00017624714344757642
word2vec,100,42025,1,0.7732279212249076,153.3426477909088,1570715509.1338265,0.003648843492942506
word2vec,100,42025,2,0.5441793392763503,8.052918195724487,1570715517.1960578,0.0001916220867513263
word2vec,200,42025,1,0.8092037216505804,150.41031861305237,1570715830.9214222,0.0035790676647960112
word2vec,200,42025,2,0.5892763502884111,9.454100370407104,1570715840.3830585,0.0002249637208901155
SVD,200,42025,1,0.9089497611312377,147.25110936164856,1570716007.6856966,0.003503893143644225
SVD,200,42025,2,0.6506292606187729,8.688114881515503,1570716016.3825006,0.00020673682050007146
SVD,500,42025,1,0.9542118417142373,149.732248544693,1570716916.374146,0.0035629327434787148
SVD,500,42025,2,0.7854614577871002,11.203495264053345,1570716927.585289,0.0002665912020000796
word2vec,500,42025,1,0.8252778008400173,176.645117521286,1570717141.1840625,0.004203334146847972
word2vec,500,42025,2,0.6258521237545883,15.309733629226685,1570717156.5018728,0.000364300621754353
bitmap,X,8723,1,1.0,5.566679954528809,1570731419.77831,0.0006381611778664231
bitmap,X,8723,2,1.0,5.549741744995117,1570731459.449073,0.0006362193906907161
bitmap,X,8723,3,1.0,5.023716449737549,1570731467.9971926,0.0005759161354737532
SVD,500,42025,1,0.9541766616857558,140.03176307678223,1570732075.183047,0.003332106200518316
SVD,500,42025,2,0.8011906319508046,10.293160676956177,1570732085.483382,0.0002449294628662981
word2vec,500,42025,1,0.8232437993127749,164.521870136261,1570732287.9269207,0.003914857112106151
word2vec,500,42025,2,0.6318199659819442,13.957383632659912,1570732301.8922691,0.0003321209668687665
bitmap,X,42025,2,1.0,28.542962789535522,1570733471.6318078,0.0006791900723268417
bitmap,X,42025,3,1.0,100.19446277618408,1570733571.833684,0.0023841633022292463
poincare,10,42025,1,0.05095370252479845,233.12445282936096,1570733895.6399307,0.005547280257688541
poincare,10,42025,2,0.010597932748920581,11.208761215209961,1570733906.8563936,0.00026671650720309247
poincare,100,42025,1,0.08457524130599327,136.35753536224365,1570741838.4646847,0.0032446766296786115
poincare,100,42025,2,0.028784508700771948,8.350653409957886,1570741846.8222551,0.00019870680333034825
poincare,20,42025,1,0.06817572903428393,193.96320056915283,1570742615.7735863,0.0046154241658335
poincare,20,42025,2,0.017401543896375767,10.005918741226196,1570742625.786934,0.00023809443762584642
poincare,50,42025,1,0.07908478301793206,154.16775703430176,1570743016.0527115,0.0036684772643498335
poincare,50,42025,2,0.030158314797854247,8.43603229522705,1570743024.4975278,0.00020073842463360026
