algorithm,dimensions,n_patterns,patterns_length,quality,time,timestamp,mat
bitmap,X,5000,1,1.0,13.229180574417114,1570988135.6959813,0.002645836114883423
bitmap,X,5000,2,1.0,10.39578628540039,1570988146.0985513,0.002079157257080078
bitmap,X,5000,3,1.0,13.406336784362793,1570988159.512077,0.0026812673568725586
poincare,100,5000,1,0.3443564600172322,15.008171319961548,1570988545.6450448,0.0030016342639923098
poincare,100,5000,2,0.26651270207852196,1.2216205596923828,1570988546.8737466,0.0002443241119384766
poincare,100,5000,3,0.3548387096774194,0.23181724548339844,1570988547.1131134,4.636344909667969e-05
SVD,20,5000,1,0.49145229010243574,22.986855268478394,1570988583.603475,0.004597371053695678
SVD,20,5000,2,0.47344110854503463,1.2552504539489746,1570988584.8654907,0.0002510500907897949
SVD,20,5000,3,0.8387096774193549,0.16495919227600098,1570988585.0380669,3.29918384552002e-05
word2vec,20,5000,1,0.6264514011406064,22.423137187957764,1570988626.9492645,0.004484627437591553
word2vec,20,5000,2,0.3302540415704388,1.277839183807373,1570988628.233985,0.0002555678367614746
word2vec,20,5000,3,0.6129032258064516,0.16789627075195312,1570988628.408816,3.3579254150390625e-05
SVD,50,5000,1,0.7980689013799422,18.043349027633667,1570988766.0292342,0.0036086698055267335
SVD,50,5000,2,0.8027713625866051,0.9385383129119873,1570988766.9750388,0.00018770766258239746
SVD,50,5000,3,0.9354838709677419,0.173872709274292,1570988767.1559036,3.4774541854858396e-05
word2vec,50,5000,1,0.8516322706820388,17.917133331298828,1570988802.7251313,0.0035834266662597655
word2vec,50,5000,2,0.5547344110854503,1.0903878211975098,1570988803.822583,0.00021807756423950194
word2vec,50,5000,3,0.9032258064516129,0.18728399276733398,1570988804.0186596,3.7456798553466796e-05
SVD,100,5000,1,0.9120748369096952,15.520550727844238,1570988833.8713672,0.0031041101455688475
SVD,100,5000,2,0.9020785219399539,0.877744197845459,1570988834.756988,0.0001755488395690918
SVD,100,5000,3,0.967741935483871,0.20141124725341797,1570988834.9654338,4.028224945068359e-05
word2vec,100,5000,1,0.9310302383785336,15.915849447250366,1570988893.2577302,0.003183169889450073
word2vec,100,5000,2,0.6729792147806004,1.0801889896392822,1570988894.345531,0.00021603779792785644
word2vec,100,5000,3,0.9354838709677419,0.22111940383911133,1570988894.5755177,4.422388076782227e-05
SVD,200,5000,1,0.9553604398309605,14.508131742477417,1570988926.2784553,0.0029016263484954834
SVD,200,5000,2,0.9348729792147806,1.0162460803985596,1570988927.3018332,0.00020324921607971192
SVD,200,5000,3,1.0,0.2730400562286377,1570988927.5833654,5.460801124572754e-05
word2vec,200,5000,1,0.9667049604070077,15.053946495056152,1570988967.0867798,0.0030107892990112305
word2vec,200,5000,2,0.7413394919168591,1.1979544162750244,1570988968.2940493,0.0002395908832550049
word2vec,200,5000,3,0.9354838709677419,0.28680944442749023,1570988968.5902257,5.7361888885498046e-05
SVD,500,5000,1,0.9700761771906071,15.97313642501831,1570989012.3277416,0.003194627285003662
SVD,500,5000,2,0.930715935334873,1.336724042892456,1570989013.6717823,0.0002673448085784912
SVD,500,5000,3,1.0,0.43302488327026367,1570989014.1119652,8.660497665405273e-05
word2vec,500,5000,1,0.9802445328847496,17.876015424728394,1570989067.831937,0.003575203084945679
word2vec,500,5000,2,0.7778290993071594,1.83628249168396,1570989069.6768363,0.00036725649833679197
word2vec,500,5000,3,0.967741935483871,0.4738943576812744,1570989070.1585495,9.477887153625489e-05
SVD,10,5000,1,0.23800243438777882,27.850684881210327,1570989117.0569212,0.005570136976242065
SVD,10,5000,2,0.13487297921478061,1.6139652729034424,1570989118.6778493,0.0003227930545806885
SVD,10,5000,3,0.3548387096774194,0.17019414901733398,1570989118.8552825,3.40388298034668e-05
word2vec,10,5000,1,0.363359728661497,27.913581132888794,1570989170.116623,0.005582716226577759
word2vec,10,5000,2,0.13394919168591224,1.5423924922943115,1570989171.666181,0.0003084784984588623
word2vec,10,5000,3,0.2903225806451613,0.17265796661376953,1570989171.84852,3.453159332275391e-05
