dim,method,test_score,train_score
0,dummy,0.903,0.9028432633233319
10,svd,0.903,0.9028432633233319
10,word2vec,0.9246666666666666,0.9207029575653665
10,poincare,0.9223333333333333,0.9188339525578737
0,dummy,0.903,0.9028432633233319
0,dummy,0.903,0.9028432633233319
0,dummy,0.903,0.9028432633233319
0,dummy,0.903,0.9028432633233319
0,dummy,0.903,0.9028432633233319
0,dummy,0.903,0.9028432633233319
0,dummy,0.903,0.9028432633233319
10,svd,0.903,0.9028432633233319
10,svd,0.903,0.9028432633233319
20,svd,0.903,0.9028293798228065
50,svd,0.9226666666666666,0.920120034295513
50,word2vec,0.933,0.9304086881966276
100,svd,0.93,0.9268362389254072
100,word2vec,0.9353333333333333,0.9368390968848243
20,word2vec,0.929,0.9261217490711632
100,poincare,0.9213333333333333,0.9186910545870248
20,poincare,0.9163333333333333,0.9111174621320377
50,poincare,0.9206666666666666,0.9156901971991998
