method,mode,nulls,rmse,test_size,time,test_size_p
classic,B,0.1,1.1681092809767495,64,0.020128488540649414,0.1
word2vec,B,0.1,2.1392121537695474,64,0.026875734329223633,0.1
SVD,B,0.1,1.9780447865364603,64,0.001283407211303711,0.1
classic,B,0.1,1.0438768949780242,129,0.011939048767089844,0.2
word2vec,B,0.1,2.1110009112540356,129,0.027665376663208008,0.2
SVD,B,0.1,2.0004644864213557,129,0.0024559497833251953,0.2
classic,B,0.1,1.3625639967630818,194,0.0271298885345459,0.3
word2vec,B,0.1,2.5444323186854763,194,0.010242223739624023,0.3
SVD,B,0.1,2.470659365094324,194,0.002492666244506836,0.3
classic,B,0.1,1.2993036730982315,259,0.033043622970581055,0.4
word2vec,B,0.1,2.543388870702492,259,0.0025603771209716797,0.4
SVD,B,0.1,2.517799374209108,259,0.005936861038208008,0.4
classic,B,0.1,1.4039637777047922,324,0.03743124008178711,0.5
word2vec,B,0.1,2.6263928010837287,324,0.002680540084838867,0.5
SVD,B,0.1,2.5908191799692486,324,0.0026009082794189453,0.5
classic,B,0.1,1.5646425900212448,389,0.03667497634887695,0.6
word2vec,B,0.1,2.6006452931565636,389,0.022748470306396484,0.6
SVD,B,0.1,2.535572521688667,389,0.0025255680084228516,0.6
classic,B,0.1,68696402262923.914,454,0.013047456741333008,0.7
word2vec,B,0.1,2.79714063839679,454,0.002493143081665039,0.7
SVD,B,0.1,2.7487884385738073,454,0.0024161338806152344,0.7
classic,B,0.1,36472622463165.086,519,0.03562784194946289,0.8
word2vec,B,0.1,2.841835918864277,519,0.0228273868560791,0.8
SVD,B,0.1,2.952200934747363,519,0.0023767948150634766,0.8
classic,B,0.1,5.193886548236505,584,0.023886680603027344,0.9
word2vec,B,0.1,3.0401937234504977,584,0.030106306076049805,0.9
SVD,B,0.1,3.7373540783191253,584,0.0024738311767578125,0.9
classic,C,0.1,1.1762500593302208,64,0.008811235427856445,0.1
word2vec,C,0.1,2.204451211035378,64,0.056671857833862305,0.1
SVD,C,0.1,1.9160185307534534,64,0.021338701248168945,0.1
classic,C,0.1,1.0229773544674123,129,0.011211633682250977,0.2
word2vec,C,0.1,2.090640723272415,129,0.028653383255004883,0.2
SVD,C,0.1,1.9703492077934202,129,0.028188705444335938,0.2
classic,C,0.1,1.3819560855152033,194,0.025648117065429688,0.3
word2vec,C,0.1,2.539416884633806,194,0.0068492889404296875,0.3
SVD,C,0.1,2.419692944018558,194,0.003042936325073242,0.3
classic,C,0.1,1.3099560555185379,259,0.02729058265686035,0.4
word2vec,C,0.1,2.54930848007735,259,0.008162498474121094,0.4
SVD,C,0.1,2.4814526725087567,259,0.0025849342346191406,0.4
classic,C,0.1,1.412607646364864,324,0.012223958969116211,0.5
word2vec,C,0.1,2.759860342653317,324,0.07123875617980957,0.5
SVD,C,0.1,2.5502444924465824,324,0.0024802684783935547,0.5
classic,C,0.1,1.5440513957717756,389,0.025977134704589844,0.6
word2vec,C,0.1,2.6712108393312026,389,0.009224414825439453,0.6
SVD,C,0.1,2.4984163346926507,389,0.002865314483642578,0.6
classic,C,0.1,26147503671549.59,454,0.007637739181518555,0.7
word2vec,C,0.1,2.8149335581023074,454,0.0033288002014160156,0.7
SVD,C,0.1,2.871227738589427,454,0.0024967193603515625,0.7
classic,C,0.1,36007494835250.36,519,0.01737523078918457,0.8
word2vec,C,0.1,2.946351621663049,519,0.0024411678314208984,0.8
SVD,C,0.1,2.9175309066675483,519,0.0024023056030273438,0.8
classic,C,0.1,5.507040990280062,584,0.006617546081542969,0.9
word2vec,C,0.1,3.5972645579680345,584,0.0277099609375,0.9
SVD,C,0.1,2.9192225799193188,584,0.002435922622680664,0.9
classic,C,0.2,1.125794711662131,64,0.008492231369018555,0.1
word2vec,C,0.2,2.23277247871232,64,0.04998421669006348,0.1
SVD,C,0.2,2.1091485127363545,64,0.0012826919555664062,0.1
classic,C,0.2,1.0287228185688446,129,0.006378650665283203,0.2
word2vec,C,0.2,2.202972440089931,129,0.0012919902801513672,0.2
SVD,C,0.2,2.199820977323175,129,0.0012061595916748047,0.2
classic,C,0.2,1.4192452943615246,194,0.025101423263549805,0.3
word2vec,C,0.2,2.4897269045627892,194,0.0027952194213867188,0.3
SVD,C,0.2,2.5026553265196956,194,0.010074377059936523,0.3
classic,C,0.2,1.3282854557565993,259,0.024739503860473633,0.4
word2vec,C,0.2,2.5546340636655787,259,0.005297422409057617,0.4
SVD,C,0.2,2.586125939906431,259,0.006304264068603516,0.4
classic,C,0.2,1.4224111889441242,324,0.019663333892822266,0.5
word2vec,C,0.2,2.5644572164364243,324,0.02496957778930664,0.5
SVD,C,0.2,2.6006193167614775,324,0.0024209022521972656,0.5
classic,C,0.2,1.4778183702518168,389,0.014425277709960938,0.6
word2vec,C,0.2,2.7337509045121884,389,0.007891416549682617,0.6
SVD,C,0.2,2.6201349538453,389,0.0024144649505615234,0.6
classic,C,0.2,38689510653214.836,454,0.009915590286254883,0.7
word2vec,C,0.2,3.0725207539101387,454,0.03708815574645996,0.7
SVD,C,0.2,3.1985508786553933,454,0.002427339553833008,0.7
classic,C,0.2,31571623747799.816,519,0.01081085205078125,0.8
word2vec,C,0.2,3.169961354365644,519,0.035188913345336914,0.8
SVD,C,0.2,3.361198586010256,519,0.030936717987060547,0.8
classic,C,0.2,4.841720902593811,584,0.012376785278320312,0.9
word2vec,C,0.2,3.051352429257501,584,0.07120871543884277,0.9
SVD,C,0.2,3.196457598660209,584,0.0023736953735351562,0.9
classic,C,0.3,1.2007628668934167,64,0.007634639739990234,0.1
word2vec,C,0.3,2.1229592499971974,64,0.031046628952026367,0.1
SVD,C,0.3,2.037920222430934,64,0.019196510314941406,0.1
classic,C,0.3,1.0765001037656081,129,0.007535219192504883,0.2
word2vec,C,0.3,2.0917751060286864,129,0.038717031478881836,0.2
SVD,C,0.3,2.0511634001636847,129,0.001216888427734375,0.2
classic,C,0.3,1.380917067988978,194,0.017560482025146484,0.3
word2vec,C,0.3,2.417584463708425,194,0.004978656768798828,0.3
SVD,C,0.3,2.4671272781412785,194,0.003103017807006836,0.3
classic,C,0.3,1.3087832261311436,259,0.011111021041870117,0.4
word2vec,C,0.3,2.4091042256091213,259,0.02045607566833496,0.4
SVD,C,0.3,2.490002063337563,259,0.00596928596496582,0.4
classic,C,0.3,1.4199454912065288,324,0.029537677764892578,0.5
word2vec,C,0.3,2.444630145656741,324,0.00852656364440918,0.5
SVD,C,0.3,2.5241793907587806,324,0.002572774887084961,0.5
classic,C,0.3,1.4725328891571416,389,0.02214503288269043,0.6
word2vec,C,0.3,2.7209841985376317,389,0.005217552185058594,0.6
SVD,C,0.3,2.598128058365619,389,0.0047991275787353516,0.6
classic,C,0.3,98184971727400.83,454,0.02221202850341797,0.7
word2vec,C,0.3,3.2337311872311973,454,0.0026586055755615234,0.7
SVD,C,0.3,3.0036566872492814,454,0.0025272369384765625,0.7
classic,C,0.3,17296309637247.975,519,0.013800382614135742,0.8
word2vec,C,0.3,3.288481300244297,519,0.07137608528137207,0.8
SVD,C,0.3,2.9765896731019637,519,0.0025260448455810547,0.8
classic,C,0.3,3.7976801290258084,584,0.0055081844329833984,0.9
word2vec,C,0.3,3.165837110628182,584,0.03194737434387207,0.9
SVD,C,0.3,3.0355561597765113,584,0.04873371124267578,0.9
classic,C,0.4,1.1720500607816489,64,0.007634878158569336,0.1
word2vec,C,0.4,2.1009830394129994,64,0.012053728103637695,0.1
SVD,C,0.4,2.16018588630284,64,0.0044362545013427734,0.1
classic,C,0.4,1.0743393970508226,129,0.00815582275390625,0.2
word2vec,C,0.4,2.1182783313913554,129,0.00969839096069336,0.2
SVD,C,0.4,2.1467128074449926,129,0.0012021064758300781,0.2
classic,C,0.4,1.3847046877654392,194,0.007955551147460938,0.3
word2vec,C,0.4,2.5149230203410404,194,0.004099845886230469,0.3
SVD,C,0.4,2.5570415033085587,194,0.0024666786193847656,0.3
classic,C,0.4,1.3659154163849379,259,0.008074045181274414,0.4
word2vec,C,0.4,2.5279110540267125,259,0.004106760025024414,0.4
SVD,C,0.4,2.5380052090865863,259,0.002392292022705078,0.4
classic,C,0.4,1.3999312489681695,324,0.007912635803222656,0.5
